"Titles","Year","Cited by","Link"
"Integrated multichannel all-fiber optofluidic biosensing platform for sensitive and simultaneous detection of trace analytes","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050634088&doi=10.1016%2fj.aca.2018.07.067&partnerID=40&md5=c0e41457c5f33753103e2c2733414b03"
"Joint transmission power control and relay cooperation for WBAN systems","2018","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058375212&doi=10.3390%2fs18124283&partnerID=40&md5=5cb773246f79bc31725e474dd773afa3"
"Effects of different relative humidities on growth performance, antioxidant capacity and immune function of broilers; [不同湿度对肉鸡生长性能、抗氧化能力和免疫功能的影响]","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059836543&doi=10.3864%2fj.issn.0578-1752.2018.24.012&partnerID=40&md5=b52a3122f088adfe8c9b4ae62399d85e"
"A comprehensive survey on machine learning for networking: evolution, applications and research opportunities","2018","544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048987338&doi=10.1186%2fs13174-018-0087-2&partnerID=40&md5=111dbf2126f384b37406dbc9ca808dc4"
"Partial angular sparse representation based DOA estimation using sparse separate nested acoustic vector sensor array","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058855699&doi=10.3390%2fs18124465&partnerID=40&md5=c6c117a65bebb863fdd9223cf7de6a42"
"Internet of Things applied to Asymmetric Operations","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060040895&doi=10.1109%2fICACCI.2018.8554529&partnerID=40&md5=8c83e4bd6d4ed898aa7c210e92735584"
"Assessment of a shallow water area in the Tagus estuary using unmanned underwater vehicle (or AUV's), vector-sensors, unmanned surface vehicles, and hexacopters – REX’17","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060286567&doi=10.1109%2fOCEANSKOBE.2018.8559177&partnerID=40&md5=e97da3403038a60cfa04907b58978902"
"Truck and Drone in Tandem Route Scheduling under Sparse Demand Distribution","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061490193&doi=10.1109%2fLISS.2018.8593233&partnerID=40&md5=73f67e5a20efe03d36900f9ed47442e9"
"On the adaptive data forwarding in opportunistic underwater sensor networks using GPS-free mobile nodes","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052479887&doi=10.1016%2fj.jpdc.2018.08.004&partnerID=40&md5=b11909d9f128e661d416e741b6fb38d5"
"Target Tracking using Friendship Paradox","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059899844&doi=10.1109%2fNAECON.2018.8556682&partnerID=40&md5=2db90e3e428aedbc563c6b327d349814"
"Aero engine sand dust ingestion electrostatic monitoring simulation experiment; [航空发动机砂尘吸入物静电监测仿真实验]","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060286181&doi=10.13224%2fj.cnki.jasp.2018.12.011&partnerID=40&md5=c5b6036f54526b6037b73df940ced462"
"Arduino Controlled Gesture Robot","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080028290&doi=10.1109%2fROMA46407.2018.8986730&partnerID=40&md5=a576a5520b12b72c0c707686fa920412"
"Non-destructive Evaluation Method of Large-scale Casting Piece Based on Metallographic Structure Statistical Analysis; [基于组织统计分析的大型铸件无损评估方法]","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064324748&doi=10.11868%2fj.issn.1005-5053.2018.000028&partnerID=40&md5=909832acef6eaef7b85e9c0f5955b5ad"
